NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Hydra Energy (Caixa com 10 Sachês de 30g cada) - Pura Vida,https://www.corpoevidasuplementos.com.br/hydra-energy-caixa-com-10-saches-de-30g-cada-pura-vida,Endurance,30.0,80.0,20.0,0.0,0.0,0,0.0,0.0,514.0
Kit 2 un Natural Desodorante (55 ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-natural-desodorante-55-ml-pura-vida-1,Combos,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Supreme Beauty (30 caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/supreme-beauty-30-caps-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Alpha Mater (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-mater-60-capsulas-pura-vida,Multivitaminicos,2.26,8.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Pura Stevia (60ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/pura-stevia-60ml-pura-vida,Temperos / Molhos / Caldas / Adoçantes,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Pura Juice Protein (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/pura-juice-protein-300g-pura-vida,Whey Protein,0.0,50.0,1.6,11.0,0.0,0,0.0,0.0,20.0
Kit 3 un Glutamina+ (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-glutamina-300g-pura-vida,Glutaminas,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Brain TCM (300ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-brain-tcm-300ml-pura-vida,CL/LA/Bloqueadores de Gordura,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 2 un Zero Adoçante Natural (100g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-zero-adocante-natural-100g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,1.5,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0
Whey Protein Grassfed (1 Sachê de 30 g) - Pura Vida,https://www.corpoevidasuplementos.com.br/whey-protein-grassfed-1-sache-de-30-g-pura-vida,Whey Protein Concentrado,30.0,110.0,7.5,19.0,0.0,0,1.1,0.0,119.0
Coco Cream (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/coco-cream-250g-pura-vida-1,Leite Vegetal,20.0,122.0,7.0,2.0,0.0,0,0.0,0.0,29.0
Kit 3 un Choco Nutrients (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-choco-nutrients-300g-pura-vida,Substitutos de Refeição,20.0,61.0,11.0,2.0,0.0,0,4.0,0.0,82.0
